protein,scaffold,KO,AMG,KO.name,KO.evalue,KO.score,KO.v.score,Pfam,Pfam.name,Pfam.evalue,Pfam.score,Pfam.v.score.x,VOG,VOG.name,VOG.evalue,VOG.score,VOG.v.score.x,total.genes,all.KEGG,KEGG.v.score,all.Pfam,Pfam.v.score.y,all.VOG,VOG.v.score.y,KEGG.int.rep,KEGG.zero,Pfam.int.rep,Pfam.zero,VOG.redoxin,VOG.rec.tran,VOG.int,VOG.RnR,VOG.DNA,KEGG.restriction.check,KEGG.toxin.check,VOG.special,annotation.check,p_v.check,p_k.check,k_v.check,k.check,p.check,v.check,h.check,type,Quality,prophageID,newName
NODE_113_length_9253_cov_45.911243_2,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,complete circular,MB18-33_prophage5,MB18-33
NODE_113_length_9253_cov_45.911243_3,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,PF05973.14,Phage derived protein Gp49-like (DUF891),1.0000000000000001e-20,65.6,1,,,NA,NA,NA,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,low quality draft,MB18-33_prophage2,MB18-33
NODE_113_length_9253_cov_45.911243_3,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,PF05973.14,Phage derived protein Gp49-like (DUF891),1.0000000000000001e-20,65.6,1,,,NA,NA,NA,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,complete circular,MB18-33_prophage5,MB18-33
NODE_113_length_9253_cov_45.911243_4,NODE_113_length_9253_cov_45.911243,K19449,,"sinR; XRE family transcriptional regulator, master regulator for biofilm formation",2.8e-15,49.5,1.02,PF01381.22,Helix-turn-helix,9.900000000000001e-16,49.5,5.99,VOG00004,sp|P51704|RPC1_BPHC1 Repressor protein CI,4.2e-15,46.9,10,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,low quality draft,MB18-33_prophage2,MB18-33
NODE_113_length_9253_cov_45.911243_4,NODE_113_length_9253_cov_45.911243,K19449,,"sinR; XRE family transcriptional regulator, master regulator for biofilm formation",2.8e-15,49.5,1.02,PF01381.22,Helix-turn-helix,9.900000000000001e-16,49.5,5.99,VOG00004,sp|P51704|RPC1_BPHC1 Repressor protein CI,4.2e-15,46.9,10,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,complete circular,MB18-33_prophage5,MB18-33
NODE_113_length_9253_cov_45.911243_5,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,PF01051.21,Initiator Replication protein,8.999999999999999e-42,135.2,0.08,VOG24335,REFSEQ gp37,1.5e-16,51.4,0.07,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,low quality draft,MB18-33_prophage2,MB18-33
NODE_113_length_9253_cov_45.911243_5,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,PF01051.21,Initiator Replication protein,8.999999999999999e-42,135.2,0.08,VOG24335,REFSEQ gp37,1.5e-16,51.4,0.07,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,complete circular,MB18-33_prophage5,MB18-33
NODE_113_length_9253_cov_45.911243_6,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,low quality draft,MB18-33_prophage2,MB18-33
NODE_113_length_9253_cov_45.911243_6,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,complete circular,MB18-33_prophage5,MB18-33
NODE_113_length_9253_cov_45.911243_7,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,low quality draft,MB18-33_prophage2,MB18-33
NODE_113_length_9253_cov_45.911243_7,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,complete circular,MB18-33_prophage5,MB18-33
NODE_113_length_9253_cov_45.911243_8,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,low quality draft,MB18-33_prophage2,MB18-33
NODE_113_length_9253_cov_45.911243_8,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,complete circular,MB18-33_prophage5,MB18-33
NODE_113_length_9253_cov_45.911243_9,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,low quality draft,MB18-33_prophage2,MB18-33
NODE_113_length_9253_cov_45.911243_9,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,complete circular,MB18-33_prophage5,MB18-33
NODE_113_length_9253_cov_45.911243_10,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,low quality draft,MB18-33_prophage2,MB18-33
NODE_113_length_9253_cov_45.911243_10,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,complete circular,MB18-33_prophage5,MB18-33
NODE_113_length_9253_cov_45.911243_11,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,low quality draft,MB18-33_prophage2,MB18-33
NODE_113_length_9253_cov_45.911243_11,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,complete circular,MB18-33_prophage5,MB18-33
NODE_72_length_22732_cov_25.643707_1,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,PF03374.14,Phage antirepressor protein KilAC domain,2.5e-28,90.1,2.71,VOG00572,sp|P19655|ANT_BPP1 Antirepressor protein 1,8.100000000000001e-17,52.9,6.13,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_2,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,PF09669.10,Phage regulatory protein Rha (Phage_pRha),4.6e-25,79.6,1.83,VOG23058,REFSEQ antirepressor,1.2e-13,42.7,0.52,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_3,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_4,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_5,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_6,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_7,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_8,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_9,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_10,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_11,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_12,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_13,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_14,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_15,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,PF03237.15,Terminase-like family,9.2e-25,79,2.85,VOG00698,REFSEQ terminase large subunit,2.8999999999999998e-36,116.7,5.49,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_16,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,PF05133.14,"Phage portal protein, SPP1 Gp6-like",1.3e-39,128,4.16,VOG00213,sp|Q05220|PORTL_BPML5 Portal protein,5.600000000000001e-25,79.5,10,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_17,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_18,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_19,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_20,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_21,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_22,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_23,NODE_72_length_22732_cov_25.643707,K06919,,K06919; putative DNA primase/helicase,4.799999999999999e-36,117.2,2.86,,,NA,NA,NA,VOG00724,sp|P10277|PRIM_BPP4 Putative P4-specific DNA primase,1.0999999999999999e-65,214.1,6.23,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_72_length_22732_cov_25.643707_24,NODE_72_length_22732_cov_25.643707,,,,NA,NA,NA,,,NA,NA,NA,VOG00377,REFSEQ hypothetical protein,4.1e-20,63.5,1.57,24,1,2.86,4,11.55,6,29.94,0,0,2,0,0,0,0,0,1,0,0,2,0,4,0,1,0,0,1,18,lytic,low quality draft,MB18-33_prophage3,MB18-33
NODE_51_length_34638_cov_21.818116_1,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_2,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_3,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_4,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_5,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_6,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_7,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,VOG17629,REFSEQ gp20 protein,7.5e-28,90.6,0.61,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_8,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_9,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_10,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_11,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_12,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_13,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_14,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,VOG00741,sp|Q9XJR2|P5_BPPM2 Protein P5,2.0999999999999998e-27,89.1,2.21,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_15,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_16,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_17,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,PF11325.8,Domain of unknown function (DUF3127),3.6000000000000003e-28,90.8,0.1,,,NA,NA,NA,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_18,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_19,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_20,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
NODE_51_length_34638_cov_21.818116_21,NODE_51_length_34638_cov_21.818116,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,58,6,10.669999999999998,11,17.709999999999997,16,63.489999999999995,0,0,0,1,1,0,0,0,0,0,0,0,6,2,0,0,0,3,8,39,lytic,low quality draft,MB18-33_prophage4,MB18-33
